estimator,original_estimate,per_century_risk,estimate_confidence,conversion_confidence,reasoning,risk_category,estimate_confidence_numeric,conversion_confidence_numeric,date,category_alias,confidence_weight
Rohin Shah (adversarial),5-9%,0.07,medium,high,Direct century estimate. Used midpoint of updated range. Medium confidence due to author's caveats.,ai,2,3,2020,AI,0.8333333333333334
Buck Shlegris (2020),50%,0.5,low,high,Direct century estimate. Low confidence due to later significant revision.,ai,1,3,2020,AI,0.6666666666666666
James Fodor,0.05%,0.0005,low,high,Direct century estimate. Low confidence due to author's own caveats.,ai,1,3,2020,AI,0.6666666666666666
Stuart Armstrong (2020),5-30%,0.175,medium,high,Direct century estimate. Used midpoint. Medium confidence due to range specification.,ai,2,3,2020,AI,0.8333333333333334
Stuart Armstrong (2014),33-50%,0.415,low,high,Direct century estimate. Used midpoint. Low confidence due to noted instability.,ai,1,3,2014,AI,0.6666666666666666
Paul Christiano,10% value reduction,0.1,medium,high,Direct century estimate. Medium confidence due to author's caveats about numbers.,ai,2,3,2019,AI,0.8333333333333334
Jaan Tallinn,33-50%,0.415,medium,high,Direct century estimate. Used midpoint. Medium confidence due to explicit uncertainty.,ai,2,3,2020,AI,0.8333333333333334
Matthew Barnett,0.1-0.2% SETI risk in 1000 years,0.00015,low,medium,Averaged range and scaled from 1000 years to 100. Low confidence due to self-described 'non-robust' estimate.,miscellaneous,1,2,2022,Misc,0.5
Holden Karnofsky (human),≥50% PASTA impact this century,0.5,medium,high,Direct century estimate. Conditional on PASTA development. Medium confidence due to speculative nature.,miscellaneous,2,3,2021,Misc,0.8333333333333334
Holden Karnofsky (galaxy),≥25% PASTA impact this century,0.25,medium,high,Direct century estimate. Conditional on PASTA development. Medium confidence due to speculative nature.,miscellaneous,2,3,2021,Misc,0.8333333333333334
Wei Dai,≥50% value loss from poor deliberation,0.5,medium,low,Unclear timeframe assumed to be century. Medium confidence as estimate includes detailed reasoning.,miscellaneous,2,1,2021,Misc,0.5
Paul Christiano,20% value loss from poor deliberation,0.2,medium,low,Unclear timeframe assumed to be century. Medium confidence due to explicit breakdown of factors.,miscellaneous,2,1,2021,Misc,0.5
Toby Ord (environmental),0.1% by 2120,0.00083,high,high,Scaled from 98 years to 100 years. High confidence due to detailed methodology.,miscellaneous,3,3,2020,Misc,1.0
Pamlin & Armstrong (ecological),0.5% in 100 years,0.005,medium,high,Direct century estimate. Medium confidence due to scope uncertainty.,miscellaneous,2,3,2015,Misc,0.8333333333333334
Toby Ord (unforeseen),3% by 2120,0.025,medium,high,Scaled from 98 years to 100 years. Medium confidence due to inherent uncertainty of 'unforeseen' risks.,miscellaneous,2,3,2020,Misc,0.8333333333333334
Toby Ord (other anthro),2% by 2120,0.0167,high,high,Scaled from 98 years to 100 years. High confidence due to detailed methodology.,miscellaneous,3,3,2020,Misc,1.0
Toby Ord (total anthro),17% by 2120,0.142,high,high,Scaled from 98 years to 100 years. High confidence due to comprehensive analysis.,miscellaneous,3,3,2020,Misc,1.0
Pamlin & Armstrong (uncertain),0.5% in 100 years,0.005,low,high,Direct century estimate. Low confidence due to explicitly uncertain nature.,miscellaneous,1,3,2015,Misc,0.6666666666666666
Dave Denkenberger,0.15% annual agricultural,0.139,medium,medium,Converted annual to century: 1-(1-0.0015)^100. Medium confidence due to detailed model.,miscellaneous,2,2,2018,Misc,0.6666666666666666
Anders Sandberg,0.00023% annual agricultural,0.00023,medium,medium,Converted annual to century: 1-(1-0.0000023)^100. Medium confidence due to model adaptation.,miscellaneous,2,2,2018,Misc,0.6666666666666666
Brian Tomasik,5% in millions of years (non-AGI),0.0005,low,low,Very rough scaling to century. Low confidence due to extremely long timeframe.,miscellaneous,1,1,2015,Misc,0.3333333333333333
Pablo Stafforini,10% in millions of years (non-AGI),0.001,low,low,Very rough scaling to century. Low confidence due to extremely long timeframe.,miscellaneous,1,1,2015,Misc,0.3333333333333333
Brian Tomasik (collapse),20% civilization collapse,0.2,low,medium,Assumed century timeframe. Low confidence due to approximate nature ('Maybe ~20%?').,miscellaneous,1,2,2015,Misc,0.5
Toby Ord,~0.01% from supervolcano by 2120,8.3e-06,high,high,Scaled from 98 years (2022-2120) to 100 years. Clear methodology and timeframe.,natural_risks,3,3,2020,"Natural
Risks",1.0
Pamlin & Armstrong,3e-07 from supervolcano in 100 years,3e-07,medium,high,Direct century estimate. Medium confidence due to extreme precision of small number.,natural_risks,2,3,2015,"Natural
Risks",0.8333333333333334
Toby Ord,0.0001% from asteroid by 2120,8.3e-07,high,high,Scaled from 98 years to 100 years. Based on astronomical observations and models.,natural_risks,3,3,2020,"Natural
Risks",1.0
Pamlin & Armstrong,1.3e-06 from asteroid in 100 years,1.3e-06,medium,high,Direct century estimate. Medium confidence due to precision of small probability.,natural_risks,2,3,2015,"Natural
Risks",0.8333333333333334
Toby Ord,0.0000001% from stellar explosion by 2120,8.3e-10,high,high,Scaled from 98 years to 100 years. Based on astronomical data.,natural_risks,3,3,2020,"Natural
Risks",1.0
Toby Ord,0.01% total natural risk by 2120,8.33e-05,high,high,Scaled from 98 years to 100 years. Comprehensive analysis of natural risks.,natural_risks,3,3,2020,"Natural
Risks",1.0
Snyder-Beattie Ord & Bonsall,<0.007% annual,0.00676,high,medium,Converted annual to century using compound probability: 1-(1-0.00007)^100. Used upper bound.,natural_risks,3,2,2019,"Natural
Risks",0.8333333333333334
