estimator,estimation_measure,date,estimation,source_read_by_estimator,risk_category,other_notes,source,estimation_numeric
Pamlin & Armstrong,"""Infinite impact"" from ""an uncertain risk"" within the next 100 years, which ""refers to the state where civilization collapses and does not recover, or a situation where all human life ends"" (according to Beard et al.)",2015,0.005,No,miscellaneous,"Beard et al. write: ""The following estimate concerns risks associated with scenarios that at present seem either very unlikely or very unlikely to pose a significant risk, but where there is a possibility that these assessments represent a significant underestimate of the threat. This includes physics experiments, as described in the previous section, but also risks such as animal cognitive enhancement and the search for extraterrestrial intelligent life. Pamlin and Armstrong also discuss the existential threat posed by Global System Collapse and Future Bad Global Governance, but believe that the probability of even reaching infinite threshold from such risks cannot be quantified.""","Pamlin, D. & Armstrong, S. (2015). Global Challenges: 12 Risks that Threaten Human Civilisation, Global Challenges Foundation.   ",0.005
Dave Denkenberger or ALLFED,“Reduction in far future potential due to [the risk of a?] 10% agricultural shortfall per year”,2018,0.0015,Sort-of,miscellaneous,There's some relevant info/discussion in these three sources (especially the first two): https://forum.effectivealtruism.org/posts/CcNY4MrT5QstNh4r7/cost-effectiveness-of-foods-for-global-catastrophes-even https://80000hours.org/podcast/episodes/david-denkenberger-allfed-and-feeding-everyone-no-matter-what/ https://forum.effectivealtruism.org/posts/D8t5TtSemqcGa4g7Y/my-open-for-feedback-donation-plans#1__Should_I_donate_to_ALLFED_,https://www.getguesstimate.com/models/11762,0.0015
"Anders Sandberg, adapting Denkenberger’s model",“Reduction in far future potential due to [the risk of a?] 10% agricultural shortfall per year”,2018,~0.00023%,Sort-of,miscellaneous,,https://www.getguesstimate.com/models/11691,
Brian Tomasik,"Chance that ""Humans will go extinct within millions of years for some reason other than AGI""",2015/2018,0.05,Yes,miscellaneous,"Discussed here: https://www.facebook.com/brian.tomasik/posts/10205952604908968 ""I should clarify that this probability estimate is unconditional. Most of my probability mass is on AGI taking over in the coming centuries, in which case other risks stop counting. _Conditional_ on AGI not taking over, the risk of extinction seems reasonably high, but that's partly because the main scenarios where AGI doesn't take over are scenarios where civilization collapses.""",https://reducing-suffering.org/summary-beliefs-values-big-questions/,0.05
Pablo Stafforini,"Chance that ""Humans will go extinct within millions of years for some reason other than AGI""",2015/2020,0.1,Yes,miscellaneous,,http://www.stafforini.com/blog/what_i_believe/,0.1
Brian Tomasik,"""The probability of civilizational collapse to pre-industrial levels"", but not necessarily permanent collapse (and perhaps excluding scenarios where AGI causes this?)",2015,"""Maybe ~20%?""",Yes,miscellaneous,"Tomasik was asked about his estimate of the chance that ""Humans will go extinct within millions of years for some reason other than AGI”. His reply included ""The probability of civilizational collapse to pre-industrial levels seems higher -- maybe ~20%?, but rebuilding seems reasonably likely IMHO"".",https://www.facebook.com/brian.tomasik/posts/10205952604908968,
,,,,,miscellaneous,,,
How various actions may reduce certain risks  ,,,,,miscellaneous,,,
"Ben Todd or 80,000 Hours",One plausible amount by which “$100 billion spent on reducing extinction risk” could reduce it over the next century,2017,1 percentage point,Yes,miscellaneous,I’m not sure where this “1 percentage point reduction” lies on the continuum from “genuine guess” to “number used purely for the sake of illustration”. ,https://80000hours.org/articles/extinction-risk/,
Paul Christiano,Amount by which “really nailing” some portion of AI safety work could improve the expected value of the future,2019,0.05,Yes,miscellaneous,"He says ""All of the numbers I’m going to give are very made up though. If you asked me a second time you’ll get all different numbers.""",https://aiimpacts.org/conversation-with-paul-christiano/,0.05
Paul Christiano,Amount by which “a marginal person” doing some portion of AI safety work could “easily” improve the expected value of the future,2019,"0.005% (“one in 20,000 or something”)",Yes,miscellaneous,"He says ""All of the numbers I’m going to give are very made up though. If you asked me a second time you’ll get all different numbers.""",https://aiimpacts.org/conversation-with-paul-christiano/,
