estimator,estimation_measure,date,estimation,source_read_by_estimator,risk_category,other_notes,source,estimation_numeric
Survey of “AI experts”,“Extremely bad (e.g. extinction)” long-run impact on humanity from “high-level machine intelligence”,2017,0.05,Yes,ai,"The report's authors discuss potential concerns around non-response bias and the fact that “NIPS and ICML authors are representative of machine learning but not of the field of artificial intelligence as a whole”. There was also evidence of apparent inconsistencies in estimates of AI timelines as a result of small changes to how questions were asked, providing further reason to wonder how meaningful these experts’ predictions were. https://web.archive.org/web/20171030220008/https://aiimpacts.org/some-survey-results/",https://arxiv.org/abs/1705.08807,0.05
Pamlin & Armstrong,"""Infinite impact"" from AI within the next 100 years, which ""refers to the state where civilization collapses and does not recover, or a situation where all human life ends"" (according to Beard et al.)",2015,0-10%,No,ai,,"Pamlin, D. & Armstrong, S. (2015). Global Challenges: 12 Risks that Threaten Human Civilisation, Global Challenges Foundation.   ",
Ben Garfinkel,"""AI causing an existential catastrophe in the next century""",2020,~0.1-1%,Yes,ai,"Garfinkel was asked for his estimate during an AMA, and replied ""I currently give it something in the .1%-1% range.""",https://forum.effectivealtruism.org/posts/7gxtXrMeqw78ZZeY9/ama-or-discuss-my-80k-podcast-episode-ben-garfinkel-fhi?commentId=uxiKooRc6d7JpjMSg,
Rohin Shah,"Chance that AI, through “adversarial optimization against humans only”, will cause existential catastrophe",2020,~5%,Yes,ai,"This is my interpretation of some comments that may not have been meant to be taken very literally. Elsewhere, Rohin noted that this was “[his] opinion before updating on other people's views"": https://forum.effectivealtruism.org/posts/tugs9KQyNqi4yRTsb/does-80-000-hours-focus-too-much-on-ai-risk#ZmtPji3pQaZK7Y4FF I think he updated this in 2020 to ~9%, due to pessimism about discontinuous scenarios: https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism?commentId=n577gwGB3vRpwkBmj Rohin also discusses his estimates here: https://futureoflife.org/2020/04/15/an-overview-of-technical-ai-alignment-in-2018-and-2019-with-buck-shlegeris-and-rohin-shah/
In 2021, Rohin similarly said ""Usually when I’m asked to predict this, the actual prediction I give is, probability that we go extinct due to an intent alignment failure, and then depending on the situation I will either condition on… I will either make that unconditional, so that includes all of the things that people will do to try to prevent that from happening. Or, I make it conditional, on the long-termist community doesn’t do anything, or vanishes or something. But even in that world, there’s still… Everyone who’s not a long-termist, who can still prevent that from happening, which I really do expect them to do, and then I think I give my cached answer, on both of those is like 5% and 10% respectively, which I think is probably the numbers I gave you. If I actually sat down and try to like come up with a probability, I would probably come up with something different this time, but I have not done that, and I’m way too anchored on those previous estimates, to be able to give you a new estimate this time.""",https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism,
Buck Shlegris,"""the probability of AI-induced existential risk"" (but from context, I believe this actually meant the probability of an AI-induced existential catastrophe)",2020,0.5,Yes,ai,"Note that Buck gave a 25 percentage point lower estimate for seemingly the same question in 2023, as also captured in this spreadsheet. ",https://futureoflife.org/2020/04/15/an-overview-of-technical-ai-alignment-in-2018-and-2019-with-buck-shlegeris-and-rohin-shah/,0.5
James Fodor,Existential risk from unaligned AI over the coming 100 years,2020,0.0005,Yes,ai,"This was a direct response to Ord's estimate. It focuses on one pathway to x-risk from AI, not all pathways (e.g., not AI misuse or risks from competition between powerful AIs). ""These estimates should not be taken very seriously. I do not believe we have enough information to make sensible quantitative estimates about these eventualities. Nevertheless, I present my estimates largely in order to illustrate the extent of my disagreement with Ord’s estimates, and to illustrate the key considerations I examine in order to arrive at an estimate."" In comments on the source, Rohin Shah critiques some of the inputs to this estimate, and provides his own, substantially higher estimates.",Critical Review of 'The Precipice': A Reassessment of the Risks of AI and Pandemics,0.0005
Stuart Armstrong,Existential risk from AI,2020,5-30%,Yes,ai,"""I put the probability that [AI/AGI] is an existential risk roughly in the 30% to 5% range, depending on how the problem is phrased."" I assume he means the probability of existential catastrophe from AI/AGI, not the probability that AI/AGI poses an existential risk. ",https://youtu.be/WLXuZtWoRcE?t=1229,
Stuart Armstrong,Chance of humanity not surviving AI,2014,"50, 40, or 33%",Yes,ai,"Stated verbally during an interview. Not totally clear precisely what was being estimated (e.g. just extinction, or existential catastrophe more broadly?). He noted ""This number fluctuates a lot"". He indicated he thought we had a 2/3 chance of surviving, then said he'd adjust to 50%, which is his number for an ""actually superintelligent"" AI, whereas for ""AI in general"" it'd be 60%. This is notably higher than his 2020 estimate, implying either that he updated towards somewhat more ""optimism"" between 2014 and 2020, or that one or both of these estimates don't reflect stable beliefs.",https://www.youtube.com/watch?v=i4LjoJGpqIY& (from 39:40),
Paul Christiano,Amount by which risk of failure to align AI (using only a narrow conception of alignment) reduces the expected value of the future,2019,~10%,Yes,ai,"He also says ""I made up 10%, it’s kind of a random number."" And ""All of the numbers I’m going to give are very made up though. If you asked me a second time you’ll get all different numbers.""

Christiano gave a similar estimate in a 2021 podcast interview: 
""Daniel Filan: [...] the first topic I want to talk about is this idea that AI might pose some kind of existential threat or an existential risk, and there’s this common definition of existential risk, which is a risk of something happening that would incapacitate humanity and limit its possibilities for development, incredibly drastically in a way comparable to human extinction, such as human extinction. Is that roughly the definition you use?

Paul Christiano: Yeah. I think I don’t necessarily have a bright line around giant or drastic drops versus moderate drops. I often think in terms of the expected fraction of humanity’s potential that is lost. But yeah, that’s basically what I think of it. Anything that could cause us not to fulfill some large chunk of our potential. I think of AI in particular, a failure to align AI maybe makes the future, in my guess 10% or 20% worse, or something like that, in expectation. And that makes it one of the worst things. I mean, not the worst, that’s a minority of all of our failure to fall short of our potential, but it’s a lot of failure to fall short of our potential. You can’t have that many 20% hits before you’re down to no potential left.

Daniel Filan: Yeah. When you say a 10% or 20% hit to human potential in expectation, do you mean if we definitely failed to align AI or do you mean we may or may not fail to align AI and overall that uncertainty equates to a 20%, or 10% to 20% hit?

Paul Christiano: Yeah, that’s unconditionally. So I think if you told me we definitely mess up alignment maximally then I’m more like, oh, now I are looking at a pretty big, close to 100% drop. I wouldn’t go all the way to 100.""",https://aiimpacts.org/conversation-with-paul-christiano/,
Jaan Tallinn,"""likelihood of an existential catastrophe happening this century"" (maybe just from AI?)",2020,33-50%,Yes,ai,"This comes from a verbal interview (from the 14:14 mark). The interview was focused on AI, and this estimate may have been as well. Tallinn said he's not very confident, but is fairly confident his estimate would be in double-digits, and then said ""two obvious Schelling points"" are 33% or 50%, so he'd guess somewhere in between those. Other comments during the interview seem to imply Tallinn is either just talking about extinction risk or thinks existential risk happens to be dominated by extinction risk.",https://youtu.be/aFAI8itZCGk?t=854,
,,,,,ai,,,
